Id,Name,Description,Brand,Category,Price,InStock,Rating,Tags
1,Apple iPhone 15 Pro,Flagship smartphone with A17 Pro chip,Apple,Smartphones,1499.99,true,4.9,"iphone;ios;smartphone;5g"
2,Samsung Galaxy S24 Ultra,Premium Android smartphone with stylus,Samsung,Smartphones,1399.99,true,4.8,"android;smartphone;5g;galaxy"
3,Google Pixel 9 Pro,AI powered Android phone with excellent camera,Google,Smartphones,1199.99,true,4.7,"android;pixel;camera;smartphone"
4,Sony WH-1000XM5,Wireless noise cancelling headphones,Sony,Headphones,399.99,true,4.9,"wireless;headphones;noise-cancelling"
5,Bose QuietComfort Ultra,Premium ANC over ear headphones,Bose,Headphones,429.99,true,4.8,"wireless;headphones;anc"
6,Apple AirPods Pro 2,Wireless earbuds with spatial audio,Apple,Headphones,299.99,true,4.7,"airpods;wireless;earbuds"
7,Dell XPS 15,Premium ultrabook with OLED display,Dell,Laptops,2199.99,true,4.8,"laptop;windows;oled"
8,MacBook Pro 16,Professional laptop with M3 Max chip,Apple,Laptops,3499.99,true,4.9,"macbook;laptop;apple-silicon"
9,Lenovo ThinkPad X1 Carbon,Business ultrabook with lightweight design,Lenovo,Laptops,1899.99,true,4.7,"laptop;business;windows"
10,ASUS ROG Strix G18,Gaming laptop with RTX 4080,ASUS,Laptops,2799.99,true,4.8,"gaming;laptop;rtx"
11,LG OLED C3,4K OLED smart television,LG,TVs,1799.99,true,4.8,"tv;oled;4k"
12,Samsung Neo QLED 8K,Premium 8K television,Samsung,TVs,3299.99,true,4.7,"tv;8k;qled"
13,Sony Bravia XR,Smart TV with cinematic image quality,Sony,TVs,2499.99,true,4.8,"tv;4k;smart-tv"
14,Logitech MX Master 3S,Wireless productivity mouse,Logitech,Accessories,119.99,true,4.9,"mouse;wireless;productivity"
15,Razer DeathAdder V3,Esports gaming mouse,Razer,Accessories,149.99,true,4.7,"gaming;mouse;rgb"
16,Keychron K8 Pro,Mechanical wireless keyboard,Keychron,Accessories,129.99,true,4.8,"keyboard;mechanical;wireless"
17,SteelSeries Apex Pro,Mechanical gaming keyboard with RGB,SteelSeries,Accessories,229.99,true,4.7,"gaming;keyboard;rgb"
18,Apple Watch Ultra 2,Rugged smartwatch with GPS,Apple,Wearables,899.99,true,4.8,"watch;smartwatch;fitness"
19,Garmin Fenix 8,Advanced multisport smartwatch,Garmin,Wearables,1099.99,true,4.9,"watch;gps;fitness"
20,Fitbit Charge 6,Fitness tracker with heart monitoring,Fitbit,Wearables,199.99,true,4.5,"fitness;tracker;health"
21,Canon EOS R6 Mark II,Mirrorless camera for professionals,Canon,Cameras,2699.99,true,4.9,"camera;mirrorless;photography"
22,Sony Alpha A7 IV,Full frame mirrorless camera,Sony,Cameras,2499.99,true,4.8,"camera;sony;video"
23,Nikon Z8,Professional hybrid camera,Nikon,Cameras,3999.99,true,4.9,"camera;nikon;photography"
24,GoPro Hero 13,Action camera with 5.3K video,GoPro,Cameras,499.99,true,4.6,"camera;action;video"
